AUD,20180626,2.7516,2.7516,2.7516,2.7516,0
BGN,20180626,2.2176,2.2176,2.2176,2.2176,0
BRL,20180626,0.9837,0.9837,0.9837,0.9837,0
CAD,20180626,2.7936,2.7936,2.7936,2.7936,0
CHF,20180626,3.7595,3.7595,3.7595,3.7595,0
CLP,20180626,0.5817,0.5817,0.5817,0.5817,0
CNY,20180626,0.5660,0.5660,0.5660,0.5660,0
CZK,20180626,0.1674,0.1674,0.1674,0.1674,0
DKK,20180626,0.5821,0.5821,0.5821,0.5821,0
EUR,20180626,4.3372,4.3372,4.3372,4.3372,0
GBP,20180626,4.9281,4.9281,4.9281,4.9281,0
HKD,20180626,0.4733,0.4733,0.4733,0.4733,0
HRK,20180626,0.5876,0.5876,0.5876,0.5876,0
HUF,20180626,1.3320,1.3320,1.3320,1.3320,0
IDR,20180626,2.6203,2.6203,2.6203,2.6203,0
ILS,20180626,1.0261,1.0261,1.0261,1.0261,0
INR,20180626,5.4542,5.4542,5.4542,5.4542,0
ISK,20180626,3.4368,3.4368,3.4368,3.4368,0
JPY,20180626,3.3883,3.3883,3.3883,3.3883,0
KRW,20180626,0.3327,0.3327,0.3327,0.3327,0
MXN,20180626,0.1860,0.1860,0.1860,0.1860,0
MYR,20180626,0.9240,0.9240,0.9240,0.9240,0
NOK,20180626,0.4580,0.4580,0.4580,0.4580,0
NZD,20180626,2.5544,2.5544,2.5544,2.5544,0
PHP,20180626,0.0693,0.0693,0.0693,0.0693,0
RON,20180626,0.9293,0.9293,0.9293,0.9293,0
RUB,20180626,0.0592,0.0592,0.0592,0.0592,0
SEK,20180626,0.4198,0.4198,0.4198,0.4198,0
SGD,20180626,2.7302,2.7302,2.7302,2.7302,0
THB,20180626,0.1127,0.1127,0.1127,0.1127,0
TRY,20180626,0.7934,0.7934,0.7934,0.7934,0
UAH,20180626,0.1417,0.1417,0.1417,0.1417,0
USD,20180626,3.7151,3.7151,3.7151,3.7151,0
XDR,20180626,5.2308,5.2308,5.2308,5.2308,0
ZAR,20180626,0.2741,0.2741,0.2741,0.2741,0
