AUD,20180627,2.7519,2.7519,2.7519,2.7519,0
BGN,20180627,2.2206,2.2206,2.2206,2.2206,0
BRL,20180627,0.9835,0.9835,0.9835,0.9835,0
CAD,20180627,2.8037,2.8037,2.8037,2.8037,0
CHF,20180627,3.7669,3.7669,3.7669,3.7669,0
CLP,20180627,0.5827,0.5827,0.5827,0.5827,0
CNY,20180627,0.5650,0.5650,0.5650,0.5650,0
CZK,20180627,0.1676,0.1676,0.1676,0.1676,0
DKK,20180627,0.5829,0.5829,0.5829,0.5829,0
EUR,20180627,4.3430,4.3430,4.3430,4.3430,0
GBP,20180627,4.9285,4.9285,4.9285,4.9285,0
HKD,20180627,0.4759,0.4759,0.4759,0.4759,0
HRK,20180627,0.5884,0.5884,0.5884,0.5884,0
HUF,20180627,1.3271,1.3271,1.3271,1.3271,0
IDR,20180627,2.6344,2.6344,2.6344,2.6344,0
ILS,20180627,1.0246,1.0246,1.0246,1.0246,0
INR,20180627,5.4396,5.4396,5.4396,5.4396,0
ISK,20180627,3.4744,3.4744,3.4744,3.4744,0
JPY,20180627,3.4024,3.4024,3.4024,3.4024,0
KRW,20180627,0.3335,0.3335,0.3335,0.3335,0
MXN,20180627,0.1869,0.1869,0.1869,0.1869,0
MYR,20180627,0.9267,0.9267,0.9267,0.9267,0
NOK,20180627,0.4574,0.4574,0.4574,0.4574,0
NZD,20180627,2.5459,2.5459,2.5459,2.5459,0
PHP,20180627,0.0698,0.0698,0.0698,0.0698,0
RON,20180627,0.9337,0.9337,0.9337,0.9337,0
RUB,20180627,0.0590,0.0590,0.0590,0.0590,0
SEK,20180627,0.4183,0.4183,0.4183,0.4183,0
SGD,20180627,2.7363,2.7363,2.7363,2.7363,0
THB,20180627,0.1131,0.1131,0.1131,0.1131,0
TRY,20180627,0.8023,0.8023,0.8023,0.8023,0
UAH,20180627,0.1420,0.1420,0.1420,0.1420,0
USD,20180627,3.7351,3.7351,3.7351,3.7351,0
XDR,20180627,5.2497,5.2497,5.2497,5.2497,0
ZAR,20180627,0.2731,0.2731,0.2731,0.2731,0
