AUD,20180628,2.7672,2.7672,2.7672,2.7672,0
BGN,20180628,2.2275,2.2275,2.2275,2.2275,0
BRL,20180628,0.9765,0.9765,0.9765,0.9765,0
CAD,20180628,2.8268,2.8268,2.8268,2.8268,0
CHF,20180628,3.7764,3.7764,3.7764,3.7764,0
CLP,20180628,0.5835,0.5835,0.5835,0.5835,0
CNY,20180628,0.5689,0.5689,0.5689,0.5689,0
CZK,20180628,0.1673,0.1673,0.1673,0.1673,0
DKK,20180628,0.5848,0.5848,0.5848,0.5848,0
EUR,20180628,4.3566,4.3566,4.3566,4.3566,0
GBP,20180628,4.9339,4.9339,4.9339,4.9339,0
HKD,20180628,0.4804,0.4804,0.4804,0.4804,0
HRK,20180628,0.5901,0.5901,0.5901,0.5901,0
HUF,20180628,1.3276,1.3276,1.3276,1.3276,0
IDR,20180628,2.6201,2.6201,2.6201,2.6201,0
ILS,20180628,1.0333,1.0333,1.0333,1.0333,0
INR,20180628,5.4683,5.4683,5.4683,5.4683,0
ISK,20180628,3.5077,3.5077,3.5077,3.5077,0
JPY,20180628,3.4180,3.4180,3.4180,3.4180,0
KRW,20180628,0.3354,0.3354,0.3354,0.3354,0
MXN,20180628,0.1872,0.1872,0.1872,0.1872,0
MYR,20180628,0.9322,0.9322,0.9322,0.9322,0
NOK,20180628,0.4597,0.4597,0.4597,0.4597,0
NZD,20180628,2.5496,2.5496,2.5496,2.5496,0
PHP,20180628,0.0705,0.0705,0.0705,0.0705,0
RON,20180628,0.9355,0.9355,0.9355,0.9355,0
RUB,20180628,0.0596,0.0596,0.0596,0.0596,0
SEK,20180628,0.4184,0.4184,0.4184,0.4184,0
SGD,20180628,2.7550,2.7550,2.7550,2.7550,0
THB,20180628,0.1139,0.1139,0.1139,0.1139,0
TRY,20180628,0.8176,0.8176,0.8176,0.8176,0
UAH,20180628,0.1433,0.1433,0.1433,0.1433,0
USD,20180628,3.7705,3.7705,3.7705,3.7705,0
XDR,20180628,5.2821,5.2821,5.2821,5.2821,0
ZAR,20180628,0.2727,0.2727,0.2727,0.2727,0
